library,title,year,imdb_id,imdb_rating,imdb_votes,rt_score,plex_rating,file,decision,reason,misidentified_hint
Animación 3D,Campanilla: El secreto de las hadas,2012,,,,,6.2,/mnt/Infantil_01/03. Peliculas animación/02. Animacion 3D/Disney/Campanilla El Secreto De Las Hadas (2012).mkv,UNKNOWN,no_ratings_and_few_votes,no_external_data
Animación 3D,Campanilla y la leyenda de la bestia,2014,,,,,7.5,/mnt/Infantil_01/03. Peliculas animación/02. Animacion 3D/Disney/Campanilla Y La Leyenda De La Bestia (2014).mkv,UNKNOWN,no_ratings_and_few_votes,no_external_data
Animación 3D,Campanilla: Hadas y piratas,2014,,,,,8.1,"/mnt/Infantil_01/03. Peliculas animación/02. Animacion 3D/Disney/Campanilla, Hadas Y Piratas (2014).mkv",UNKNOWN,no_ratings_and_few_votes,no_external_data
Animación 3D,¡Canta!,2016,,,,,7.1,/mnt/Infantil_01/03. Peliculas animación/02. Animacion 3D/Otros/Sing (2016).mkv,UNKNOWN,no_ratings_and_few_votes,no_external_data
Animación 3D,¡Canta! 2,2021,,,,,7.2,/mnt/Infantil_01/03. Peliculas animación/02. Animacion 3D/Otros/¡Canta! 2 (2021).mkv,UNKNOWN,no_ratings_and_few_votes,no_external_data
Animación 3D,Carlitos y Snoopy: La película de Peanuts,2015,,,,,8.7,/mnt/Infantil_01/03. Peliculas animación/02. Animacion 3D/Otros/Carlitos Y Snoopy La Pelicula De Peanuts (2015).mkv,UNKNOWN,no_ratings_and_few_votes,no_external_data
Animación 3D,Cars,2006,,,,,7.4,/mnt/Infantil_01/03. Peliculas animación/02. Animacion 3D/Pixar/Cars (2006).mkv,UNKNOWN,no_ratings_and_few_votes,no_external_data
Animación 3D,Cars 2,2011,,,,,4.0,/mnt/Infantil_01/03. Peliculas animación/02. Animacion 3D/Pixar/Cars 2 (2011).mkv,UNKNOWN,no_ratings_and_few_votes,no_external_data
Animación 3D,Chicken Run: Evasión en la granja,2000,,,,,9.7,/mnt/Infantil_01/03. Peliculas animación/02. Animacion 3D/Aardman/Evasion En La Granja (2000).mkv,UNKNOWN,no_ratings_and_few_votes,no_external_data
Animación 3D,Chicken Run: Amanecer de los nuggets,2023,,,,,8.3,/mnt/Infantil_01/03. Peliculas animación/02. Animacion 3D/Aardman/Chicken Run Amanecer de los nuggets (2023).mkv,UNKNOWN,no_ratings_and_few_votes,no_external_data
Animación 3D,Cigüeñas,2016,,,,,6.5,/mnt/Infantil_01/03. Peliculas animación/02. Animacion 3D/Otros/Storks (2016).mkv,UNKNOWN,no_ratings_and_few_votes,no_external_data
Animación 3D,Coco,2017,,,,,9.7,/mnt/Infantil_01/03. Peliculas animación/02. Animacion 3D/Pixar/Coco (2017).mkv,UNKNOWN,no_ratings_and_few_votes,no_external_data
Animación 3D,Colegas en el bosque,2006,,,,,4.8,/mnt/Infantil_01/03. Peliculas animación/02. Animacion 3D/Otros/Colegas En El Bosque (2006).mkv,UNKNOWN,no_ratings_and_few_votes,no_external_data
Animación 3D,Cómo entrenar a tu dragón,2010,,,,,9.9,/mnt/Infantil_01/03. Peliculas animación/02. Animacion 3D/Dreamworks/Como Entrenar A Tu Dragon (2010).mkv,UNKNOWN,no_ratings_and_few_votes,no_external_data
Animación 3D,Cómo entrenar a tu dragón 2,2014,,,,,9.2,/mnt/Infantil_01/03. Peliculas animación/02. Animacion 3D/Dreamworks/Como Entrenar A Tu Dragon 2 (2014).mkv,UNKNOWN,no_ratings_and_few_votes,no_external_data
Animación 3D,Cuento de Navidad,2009,,,,,5.2,/mnt/Infantil_01/03. Peliculas animación/02. Animacion 3D/Disney/Cuento De Navidad (2009).mkv,UNKNOWN,no_ratings_and_few_votes,no_external_data
Animación 3D,Del revés (Inside Out),2015,,,,,9.8,/mnt/Infantil_01/03. Peliculas animación/02. Animacion 3D/Pixar/Del Reves (2015).mkv,UNKNOWN,no_ratings_and_few_votes,no_external_data
Animación 3D,Del revés 2 (Inside Out 2),2024,,,,,9.1,/mnt/Infantil_01/03. Peliculas animación/02. Animacion 3D/Pixar/Del Revés 2 (2024).mkv,UNKNOWN,no_ratings_and_few_votes,no_external_data
Animación 3D,Descubriendo a los Robinsons,2007,,,,,6.8,/mnt/Infantil_01/03. Peliculas animación/02. Animacion 3D/Disney/Descubriendo a los Robinsons (2007).mkv,UNKNOWN,no_ratings_and_few_votes,no_external_data
Animación 3D,Dinosaurio,2000,,,,,6.5,/mnt/Infantil_01/03. Peliculas animación/02. Animacion 3D/Disney/Dinosaurio (2000).mkv,UNKNOWN,no_ratings_and_few_votes,no_external_data
Animación 3D,El alucinante mundo de Norman,2012,,,,,8.9,/mnt/Infantil_01/03. Peliculas animación/02. Animacion 3D/Otros/Paranorman (2012).mkv,UNKNOWN,no_ratings_and_few_votes,no_external_data
Animación 3D,El bebé jefazo,2017,,,,,5.3,/mnt/Infantil_01/03. Peliculas animación/02. Animacion 3D/Dreamworks/El Bebe Jefazo (2017).mkv,UNKNOWN,no_ratings_and_few_votes,no_external_data
Animación 3D,El diario de Greg en Navidad: Atrapados en la nieve,2023,,,,,7.5,/mnt/Infantil_01/03. Peliculas animación/02. Animacion 3D/Disney/El diario de Greg en Navidad - Atrapados en la nieve (2023).mkv,UNKNOWN,no_ratings_and_few_votes,no_external_data
Animación 3D,El gato con botas,2011,,,,,8.5,/mnt/Infantil_01/03. Peliculas animación/02. Animacion 3D/Dreamworks/El gato con botas (2011).mkv,UNKNOWN,no_ratings_and_few_votes,no_external_data
Animación 3D,El origen de los guardianes,2012,,,,,7.5,/mnt/Infantil_01/03. Peliculas animación/02. Animacion 3D/Dreamworks/El Origen De Los Guardianes (2012).mkv,UNKNOWN,no_ratings_and_few_votes,no_external_data
Animación 3D,El principito,2015,,,,,9.2,/mnt/Infantil_01/03. Peliculas animación/02. Animacion 3D/Otros/El Principito (2015).mkv,UNKNOWN,no_ratings_and_few_votes,no_external_data
Animación 3D,El valiente Despereaux,2008,,,,,5.6,/mnt/Infantil_01/03. Peliculas animación/02. Animacion 3D/Otros/El valiente Despereaux (2008).mkv,UNKNOWN,no_ratings_and_few_votes,no_external_data
Animación 3D,El viaje de Arlo,2015,,,,,7.6,/mnt/Infantil_01/03. Peliculas animación/02. Animacion 3D/Otros/El viaje de Arlo (2015).mkv,UNKNOWN,no_ratings_and_few_votes,no_external_data
Animación 3D,Elemental,2023,,,,,7.3,/mnt/Infantil_01/03. Peliculas animación/02. Animacion 3D/Pixar/Elemental (2023).mkv,UNKNOWN,no_ratings_and_few_votes,no_external_data
Animación 3D,Elio,2025,,,,,8.3,/mnt/Infantil_01/03. Peliculas animación/02. Animacion 3D/Pixar/Elio (2025).mkv,UNKNOWN,no_ratings_and_few_votes,no_external_data
Animación 3D,Encanto,2021,,,,,9.2,/mnt/Infantil_01/03. Peliculas animación/02. Animacion 3D/Disney/Encanto (2021).mkv,UNKNOWN,no_ratings_and_few_votes,no_external_data
Animación 3D,Enredados,2010,,,,,8.9,/mnt/Infantil_01/03. Peliculas animación/02. Animacion 3D/Disney/Enredados (2010).mkv,UNKNOWN,no_ratings_and_few_votes,no_external_data
Animación 3D,Epic: El mundo secreto,2013,,,,,6.5,/mnt/Infantil_01/03. Peliculas animación/02. Animacion 3D/Dreamworks/Epic El Mundo Secreto (2013).mkv,UNKNOWN,no_ratings_and_few_votes,no_external_data
Animación 3D,"Flow, un mundo que salvar",2024,,,,,9.7,/mnt/Infantil_01/03. Peliculas animación/02. Animacion 3D/Otros/Flow (2024).mkv,UNKNOWN,no_ratings_and_few_votes,no_external_data
Animación 3D,Frankenweenie,2012,,,,,8.7,/mnt/Infantil_01/03. Peliculas animación/02. Animacion 3D/Disney/Frankenweenie (2012).mkv,UNKNOWN,no_ratings_and_few_votes,no_external_data
Animación 3D,Frozen: El reino del hielo,2013,,,,,8.9,/mnt/Infantil_01/03. Peliculas animación/02. Animacion 3D/Disney/Frozen El reino del hielo (2013).mkv,UNKNOWN,no_ratings_and_few_votes,no_external_data
Animación 3D,Ga'Hoole: La leyenda de los guardianes,2010,,,,,5.2,/mnt/Infantil_01/03. Peliculas animación/02. Animacion 3D/Otros/Ga'Hoole La Leyenda De Los Guardianes (2010).mkv,UNKNOWN,no_ratings_and_few_votes,no_external_data
Animación 3D,Gnomeo y Julieta,2011,,,,,5.5,/mnt/Infantil_01/03. Peliculas animación/02. Animacion 3D/Otros/Gnomeo y Julieta (2011).mkv,UNKNOWN,no_ratings_and_few_votes,no_external_data
Animación 3D,Minions: El origen de Gru,2022,,,,,6.9,/mnt/Infantil_01/03. Peliculas animación/02. Animacion 3D/Dreamworks/Minions El origen de Gru (2022).mkv,UNKNOWN,no_ratings_and_few_votes,no_external_data
Animación 3D,Los Minions,2015,,,,,5.5,/mnt/Infantil_01/03. Peliculas animación/02. Animacion 3D/Dreamworks/Los Minions (2015).mkv,UNKNOWN,no_ratings_and_few_votes,no_external_data
Animación 3D,Gru. Mi villano favorito,2010,,,,,,"/mnt/Infantil_01/03. Peliculas animación/02. Animacion 3D/Dreamworks/Gru, Mi Villano Favorito (2010).mkv",UNKNOWN,no_ratings_and_few_votes,no_external_data
